test,BetacommandBot|MediaWiki default
yi,Alexbot|AlleborgoBot|Almabot|BotMultichill|Byrialbot|Darkicebot|DixonDBot|Escarbot|FoxBot|GangleriBot|Idioma-bot|JAnDbot|JhsBot|Kwjbot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Riccardobot|Robbot|Rubinbot|SieBot|Soulbot|SpBot|TXiKiBoT|TechBot|Thijs!bot|VanBot|VolkovBot|VsBot|WikiDreamer Bot|Xqbot|YonaBot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
ext,Alexbot|AlleborgoBot|BOTarate|CarsracBot|Idioma-bot|LucienBOT|PipepBot|Purbo T
hy,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Dinamik-bot|EmausBot|Escarbot|JAnDbot|Luckas-bot|MalafayaBot|MediaWiki default|MelancholieBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|SieBot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|Togaedbot|VolkovBot|YonaBot
ps,AlleborgoBot|BotMultichill|Byrialbot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot
ak,Alexbot|AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|RCBot|SieBot
roa_tara,21Bot|AlleborgoBot|BodhisattvaBot|BotMultichill|CarsracBot|Filbot|Loveless|MediaWiki default|Paolobot|PipepBot|Purbo T|Robbot|SieBot|TobeBot|VolkovBot|WikiDreamer Bot
ar,A user bot1|AHbot|AStarBot|AhmadBot|AhmadSherifBot|AkhtaBot|Albambot|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|Amirobot|AmphBot|Antime Bot I|ArthurBot|BOTarate|BOTijo|BahaaBOT|Balbot|Bot-Schafter|BotMultichill|Byrialbot|CERabot|CarsracBot|ChaosBot|Chobot|CipherBot|DSisyphBot|D\|Darkicebot|Diego Grez Bot|DirlBot|DorganBot|Dotoridabot|DrFO.Tn.Bot|DragonBot|Ebrambot|Egmontbot|EleferenBot|EmausBot|Escarbot|Ficbot|FiriBot|GhalyBot|GnawnBot|Hashar|HerculeBot|Huzzlet the bot|Idioma-bot|IrhmBOT|JAnDbot|JhsBot|KamikazeBot|Kwjbot|LaaknorBot|Le Pied-bot|LordAnubisBOT|Loveless|LucienBOT|Luckas-bot|MSBOT|MaraBot|MastiBot|MediaWiki default|MenasimBot|MenoBot|MenoBot II|Mentibot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Numbo3-bot|OKBot|OKBot II|Obaydbot|Obersachsebot|OdderBot|OrBot|Oudabot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Rameshngbot|RedBot|Redakingbot|RedirectorBot|Riad.Bot|RibotBOT|Robbot|Rubinbot|S.M.T.Bot|Sahimrobot|SalamBot|SassoBot|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|Sz-iwbot|TARBOT|TXiKiBoT|Tanhabot|Thijs!bot|TjBot|TobeBot|TottyBot|TuHan-Bot|TuvicBot|UltraBot|VanBot|Ver-bot|VolkovBot|WarddrBOT|WikiDreamer Bot|Wqn177070bot|Wybot|XeBot|Xqbot|YonaBot|Yonidebot|YurikBot|Zwobot|Zxabot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
bn,Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BellayetBot|BodhisattvaBot|BotMultichill|Botz|Byrialbot|CarsracBot|Darkicebot|Diego Grez Bot|DragonBot|EDUCA33E|Egmontbot|EleferenBot|EmausBot|Escarbot|FiriBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|Joy|K.J.Bot|KamikazeBot|Le Pied-bot|Loveless|Luckas-bot|MaksudBot|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|Muro Bot|NobelBot|Obersachsebot|PipepBot|Ptbotgourou|Purbo T|RagibBot|Rameshngbot|Robbot|Rubinbot|SassoBot|SieBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|Thollybot|TjBot|TobeBot|TottyBot|Ver-bot|VolkovBot|VsBot|WikiDreamer Bot|WikitanvirBot I|Xqbot|YonaBot|YurikBot|ZBot|Zwobot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
nn,AHbot|Agtbot|Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|Andersbot|ArthurBot|BepBot|BodhisattvaBot|BotMultichill|Broadbot|Byrialbot|CarsracBot|Chlewbot|Chobot|DSisyphBot|D\|Darkicebot|Diego Grez Bot|DirlBot|DragonBot|EinBot|Eirik-bot|EivindBot|EleferenBot|EmausBot|Escarbot|Fagerbott|FiriBot|FlaBot|GhalyBot|GnawnBot|H92Bot|HerculeBot|Hxhbot|Idioma-bot|JAnD|JAnDbot|JhsBot|KamikazeBot|KhanBot|Kwjbot|LA2-bot|LaaknorBot|Le Pied-bot|Loveless|Luckas-bot|MGA73bot|MagnusA.Bot|Marabot|MastiBot|MediaWiki default|MelancholieBot|MenoBot|MerlLinkBot|MondalorBot|Muro Bot|Nallimbot|OKBot|Obersachsebot|PipepBot|PixelBot|Ptbotgourou|Purbo T|RoarBot|Robbot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|SpillingBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TuvicBot|VanBot|Ver-bot|VisualizedConceptsBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zorrobot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
pnt,CommonsDelinker|Dinamik-bot|Egmontbot|Purbo T|ZaBot
sw,Alexbot|AlleborgoBot|AmaraBot|AmphBot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|CommonsDelinker|Diego Grez Bot|Egmontbot|Escarbot|Euku|FiriBot|FoxBot|GhalyBot|Idioma-bot|JAnDbot|Le Pied-bot|Loveless|MediaWiki default|MelancholieBot|MenoBot|MerlLinkBot|OKBot|PipepBot|Ptbotgourou|Purbo T|Robbot|RobotJcb|SassoBot|SieBot|SilvonenBot|SpBot|Synthebot|TXiKiBoT|TaBOT-zerem|Thijs!bot|TjBot|VolkovBot|WikiDreamer Bot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
pdc,AlleborgoBot|AmphBot|BenzolBot|BotMultichill|Byrialbot|CarsracBot|CommonsDelinker|Escarbot|Idioma-bot|LinkFA-Bot|MediaWiki default|MelancholieBot|NobelBot|PipepBot|Purbo T|SpBot|TXiKiBoT|Thijs!bot|TobeBot|Xqbot|YurikBot
uz,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Escarbot|Idioma-bot|Ismanov bot|JAnDbot|Loveless|MediaWiki default|Memty Bot|PipepBot|Purbo T|SieBot|SpBot|StigBot|TXiKiBoT|TechBot|Uzgen bot|ã‚¿ãƒ�ã‚³ãƒž robot
ang,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Egmontbot|GhalyBot|LucienBOT|MediaWiki default|PipepBot|PixelBot|Purbo T|RCBot|SieBot|SpBot|Synthebot|Sz-iwbot|TechBot|YurikBot
vi,Albambot|Alexbot|AlleborgoBot|Almabot|AppleBot|ArthurBot|BOTijo|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|Chobot|CommonsDelinker|DHN-bot|DSisyphBot|D\|Darkicebot|Diego Grez Bot|DirlBot|DragonBot|Egmontbot|EleferenBot|EmausBot|Escarbot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|KamikazeBot|Kwjbot|Le Pied-bot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nal-Bot|Nallimbot|OKBot|Obersachsebot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Qbot|Rubinbot|SassoBot|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|Sz-iwbot|TBot|TVT-bot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|Toolserver|TuHan-Bot|TuvicBot|Ver-bot|VolkovBot|WikiDreamer Bot|Xqbot|YonaBot|YurikBot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
fi,AWBkÃ¤rppÃ¤BOT|Aibot|Albambot|Alecs.bot|Alexbot|Almabot|Amirobot|ArthurBot|BOTarate|BenzolBot|BodhisattvaBot|BotMultichill|BotSottile|BotdeSki|Chobot|CommonsDelinker|CrtBot|DSisyphBot|D\|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DorganBot|Egmontbot|EleferenBot|EmausBot|Escarbot|FANSTARbot|FlaBot|GEbot|GhalyBot|HarrivBOT|HenswickBot|HerculeBot|Idioma-bot|JAnDbot|KamikazeBot|KhanBot|KielimiliisiBot|KslotteBot|Kwjbot|Kyle the bot|LA2-bot|LaaknorBot|Louperibot|LucienBOT|Luckas-bot|MagnusA.Bot|MastiBot|MauritsBot|MediaWiki default|MelancholieBot|MenoBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|NRbot|Nallimbot|Overlord|Ptbotgourou|Rbnqss|Rei-bot|RibotBOT|Robbot|SieBot|SilvonenBot|Soulbot|SpBot|SpillingBot|StigBot|Str4ndBOT|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|VanBot|Ver-bot|Vini 17bot5|VolkovBot|Wybot|XZeroBot|ZacheBot|Zwobot|ZÃ©roBot
arc,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|MediaWiki default|PipepBot|Purbo T|RCBot|SieBot|TechBot
ga,Aibot|Alexbot|AlleborgoBot|AllieBot|AmphBot|Benoni|BotMultichill|Byrialbot|CarsracBot|Chobot|Darkicebot|DirlBot|Escarbot|FiriBot|FoxBot|GnawnBot|Hashar|Idioma-bot|JAnDbot|Kwjbot|Le Pied-bot|Luckas-bot|MSBOT|MediaWiki default|MelancholieBot|NobelBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SilvonenBot|Soulbot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
vec,Alexbot|AlleborgoBot|Almabot|Amirobot|AndersBot|ArthurBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|CruccoBot|D\|DarioBot|Darkicebot|ElMeBot|Escarbot|FiriBot|Gacbot|HerculeBot|Idioma-bot|JAnDbot|Kaboot|Le Pied-bot|LinkFA-Bot|Loveless|Luckas-bot|Marco27Bot|MastiBot|MediaWiki default|MelancholieBot|OKBot|Obersachsebot|OdderBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Riccardobot|Robbot|RobotSC|Rubinbot|SassoBot|SieBot|SpBot|StigBot|SunBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|VajotwoBot|VolkovBot|Xqbot|YurikBot|Zwobot|Zyxwvut-Bot
pi,AlleborgoBot|BotMultichill|Luckas-bot|MediaWiki default|PipepBot|Purbo T|TXiKiBoT|VolkovBot
ur,Alexbot|AlleborgoBot|Almabot|ArthurBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|DragonBot|EmausBot|Escarbot|HerculeBot|Idioma-bot|JAnDbot|JackieBot|JhsBot|KamikazeBot|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|OsamaKBOT|PipepBot|Ptbotgourou|Purbo T|Robbot|Saki-bot|SieBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|VsBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot|Ú©Ø§Ø´Ù� Ø±ÙˆØ¨Û�
be,AfinogenoffBot|Aibot|Albambot|Alexbot|Almabot|Am-bot|AmphBot|ArthurBot|Bocianski.bot|BodhisattvaBot|BokimBot|Bot-Skorohod|BotMultichill|ButkoBot|Byrialbot|CarsracBot|D\|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DixonDBot|EDUCA33E|Egmontbot|EleferenBot|EmausBot|Escarbot|Idioma-bot|JAnDbot|Kobot|Le Pied-bot|Loveless|LucienBOT|Luckas-bot|MaxLitBot|MelancholieBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Robbot|Rubinbot|SassoBot|SieBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|U-bot|UltraBot|VolkovBot|WikiDreamer Bot|YonaBot|Yury Tarasievich!bot|Zwobot|Ð Ð¾Ð±Ð¾Ð¡Ñ‚Ð°Ñ�Ñ�|Ð¥Ð¾Ð¼Ð¾Ð‘Ð¾Ñ‚|ã‚¿ãƒ�ã‚³ãƒž robot
gan,Alexbot|AlleborgoBot|CarsracBot|EmausBot|MelancholieBot|Purbo T|SieBot|SpBot|Vipbot|VolkovBot
sh,Aibot|Alexbot|AlleborgoBot|AmphBot|Autobot|BodhisattvaBot|BokimBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|DirlBot|Egmontbot|EmausBot|EmxBot|Escarbot|FelixBot|FiriBot|FixyBot|GhalyBot|GnawnBot|Homobot|Idioma-bot|JAnDbot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|NobelBot|OKBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|WikiDreamer Bot|YonaBot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
uk,AHbot|ASbot|Adlerbot|Advbot|Aibot|Albambot|Albbot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|ArthurBot|BOTarate|Begemot-Bot|Bocianski.bot|BodhisattvaBot|BokimBot|Bot Gluck|Bot-Schafter|BotCat|BotMultichill|BotSottile|BotdeSki|ButkoBot|Byrialbot|CarsracBot|Chobot|ClaymoreBot|CleanupBot|CommonsDelinker|DSisyphBot|D\|DaBot|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DixonDBot|DrFO.Tn.Bot|DragonBot|DrewBot|EDUCA33E|Edwardspec TalkBot|Egmontbot|EleferenBot|ElimBot|EmausBot|Escarbot|Ficbot|FiriBot|FoxBot|Further (bot)|GhalyBot|GnawnBot|HerculeBot|Huzzlet the bot|Idioma-bot|IlyaBot|IvanBot|JAnDbot|JackieBot|KamikazeBot|Kintup|Kwjbot|Kyle the bot|LA2-bot|LeonBot|Lockalbot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Movses-bot|Muro Bot|MystBot|Nallimbot|NobelBot|OKBot|OPbot|Obersachsebot|Pavlosh\|PipepBot|PixelBot|Ptbotgourou|Purbo T|Qualia|RarBot|RedBot|Rei-bot|Riccardobot|Robbot|Rubinbot|SassoBot|Secretary|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TottyBot|TuHan-Bot|TuvicBot|U-Bot|UncleIgorBot|VVVBot|VanBot|Ver-bot|VolkovBot|WikiDreamer Bot|Wybot|Xqbot|Yonidebot|YurikBot|ZsergheiBot|Zwobot|Zxabot|ZÃ©roBot|Ð‘Ð¾Ñ‚ - 9 Ð¼Ð°Ñ�|Ð“Ð¾Ð»ÐµÐ¼|Ð Ð¾Ð±Ð¾Ð¡Ñ‚Ð°Ñ�Ñ�|ã‚¿ãƒ�ã‚³ãƒž robot
an,Alecs.bot|Alexbot|AlleborgoBot|Almabot|AraBot|AstaBOTh15|BOTarate|BotMultichill|Byrialbot|CarsracBot|Chlewbot|Darkicebot|Diego Grez Bot|DirlBot|Egmontbot|EmausBot|Escarbot|FoxBot|GhalyBot|HerculeBot|Idioma-bot|JAnDbot|Jpbot|Le Pied-bot|Loveless|LucienBOT|Luckas-bot|MediaWiki default|MelancholieBot|Muro Bot|PasqualBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|RBSpamAnalyzerBot|RCBot|Rameshngbot|Rembiapo pohyiete (bot)|Robbot|Rubinbot|SassoBot|SieBot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|VolkovBot|WikiDreamer Bot|Xqbot|YonaBot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
ts,AlleborgoBot|BotMultichill|MediaWiki default|Purbo T|SieBot
ml,Abhibot|Alexbot|AlleborgoBot|AnoopanBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Diego Grez Bot|DragonBot|Escarbot|FiriBot|FoxBot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|Jigbot|Jotter|Kgsbot|Le Pied-bot|Loveless|Luckas-bot|Mad-a-prav|MediaWiki default|MelancholieBot|MerlLinkBot|Mlbot|Muro Bot|NobelBot|PipepBot|Ptbotgourou|Purbo T|Rameshngbot|Robbot|Sidnbot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TinucherianBot II|TjBot|TobeBot|UltraBot|VolkovBot|VsBot|WikiDreamer Bot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
sl,Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|ArthurBot|BOTijo|BetBot|Bgbot|BodhisattvaBot|BokimBot|BotMultichill|Botz|ButkoBot|Byrialbot|CarsracBot|Chleweybot|Chobot|DSisyphBot|D\|Darkicebot|Dbc-Bot|DirlBot|DixonDBot|DragonBot|Egmontbot|EmausBot|Erwin85Bot|Escarbot|Ficbot|FiriBot|GhalyBot|GnawnBot|Hashar|Head|HerculeBot|HooftBot|Huzzlet the bot|Idioma-bot|JAnDbot|JackieBot|KamikazeBot|KocjoBot|Kwjbot|Le Pied-bot|Loveless|Luckas-bot|MSBOT|MastiBot|MauritsBot|MediaWiki default|MelancholieBot|MenoBot|MerlLinkBot|Mihas-bot|MondalorBot|MoriBot|Muro Bot|MystBot|Nallimbot|NenekeBot|NobelBot|OKBot|Obersachsebot|PalicaBOT|Peti610bot|PipepBot|PixelBot|Ptbotgourou|Purbo T|QualiaBot|RedBot|Rei-bot|RibotBOT|Riccardobot|Robbot|Robot Hillgentleman|Rubinbot|SassoBot|SieBot|SilvonenBot|SlodaveBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|Toolserver|TuvicBot|Ver-bot|VolkovBot|WarddrBOT|WikiDreamer Bot|Wybot|Xqbot|YurikBot|Yyy-bot|Zwobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
mhr,D\|Egmontbot|EleferenBot|EmausBot|Purbo T
sr,AHbot|Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|ArthurBot|Autobot|BetBot|BodhisattvaBot|BokimBot|BotMultichill|Botz|ButkoBot|Byrialbot|CarsracBot|Chobot|CommonsDelinker|D\|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DixonDBot|DjordjesBot|DragonBot|Edwardspec TalkBot|Egmontbot|EleferenBot|EmausBot|EmxBot|Escarbot|FelixBot|Ficbot|FiriBot|FixyBot|Gerakibot|GetoBot|GhalyBot|GnawnBot|Hashar|HerculeBot|Huzzlet the bot|Idioma-bot|Iki.prevodilac|JAnDbot|JustBot|Kal-El-Bot|KamikazeBot|KocjoBot|Kwjbot|Le Pied-bot|Luckas-bot|MSBOT|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|Michaello|Millbot|Millbot-Stats|MisosBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Obersachsebot|PipepBot|Ptbotgourou|Purbo T|Qualia|RedBot|Robbot|Roberto|Rubinbot|SashatoBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|SpomenicaÅ¡|StigBot|Synthebot|Sz-iwbot|TARBOT|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TottyBot|TuvicBot|UltraBot|Ver-bot|VolkovBot|WikiDreamer Bot|Wybot|Xqbot|YurikBot|Zwobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|Ð“ÐµÑ‚Ð¾Ð‘Ð¾Ñ‚|ÐœÐ¸Ñ€Ð¾Ñ�Ð»Ð°Ð²Ð‹Ð¸ÐºÐ°Ð‘Ð¾Ñ‚|Ð�Ð¡Ð‘Ð¾Ñ‚|Ð¡Ð»Ð¾Ð±Ð¾Ñ‚|ã‚¿ãƒ�ã‚³ãƒž robot
myv,Alexbot|AlleborgoBot|CarsracBot|D\|Darkicebot|EmausBot|Escarbot|Idioma-bot|Kintup|MastiBot|MelancholieBot|NobelBot|PipepBot|Purbo T|SieBot|SilvonenBot|StigBot|VolkovBot
qu,AlleborgoBot|BOTarate|BotMultichill|Byrialbot|Chlewbot|Diego Grez Bot|Escarbot|Idioma-bot|JAnDbot|Luckas-bot|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|Synthebot|TXiKiBoT|TechBot|Thijs!bot|VolkovBot|WikiDreamer Bot|YurikBot
st,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|Purbo T|SpBot|ã‚¿ãƒ�ã‚³ãƒž robot
haw,AlleborgoBot|BotMultichill|Byrialbot|CommonsDelinker|Escarbot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|RCBot|Robbot|SieBot|Sirius Zwarts Bot|TXiKiBoT|VolkovBot|YurikBot
hz,MediaWiki default
bcl,AlleborgoBot|BotMultichill|Idioma-bot|Loveless|PipepBot|Ptbotgourou|Purbo T|SilvonenBot|SpBot
new,Albambot|Alexbot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Byrialbot|DragonBot|EmausBot|EukeshBot|Loveless|MediaWiki default|MondalorBot|PipepBot|Purbo T|SieBot|SpBot|StigBot|Synthebot|TobeBot|WikiDreamer Bot
sk,AbdullBot|Adlerbot|Adrian-Bot|Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|ArthurBot|Atomobot|BOTarate|Bocianski.bot|BodhisattvaBot|BokimBot|Bot-Schafter|BotMultichill|ButkoBot|Byrialbot|Chobot|D\|Darkicebot|Diego Grez Bot|DirlBot|DixonDBot|DrFO.Tn.Bot|DragonBot|Egmontbot|EleferenBot|EmausBot|Erwin85Bot|Escarbot|Ficbot|FiriBot|FlaBot|GhalyBot|GnawnBot|Helix84Bot|Huzzlet the bot|IW-BOT|Idioma-bot|JAnDbot|JagRoBot|Jozef-k.bot|KT-Bot|KocjoBot|Kwjbot|Le Pied-bot|Liso-Bot|Loveless|Luckas-bot|MSBOT|MastiBot|MauritsBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|OKBot|PalicaBOT|PipepBot|PixelBot|Ptbotgourou|Purbo T|Qualia|Rainbot|RedBot|Rei-bot|RibotBOT|Robbot|RobotQuistnix|SieBot|SilvonenBot|Soulbot|SpBot|Synthebot|TXiKiBoT|TaBOT-zerem|Thijs!bot|TjBot|TobeBot|TottyBot|TuvicBot|Vbot|Vegbot|Ver-bot|VolkovBot|WikiDreamer Bot|Wizzo-Bot|Wybot|Yurik|YurikBot|Zwobot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
pih,Alexbot|AlleborgoBot|BotMultichill|HerculeBot|Loveless|MediaWiki default|PipepBot|Purbo T|Synthebot|ã‚¿ãƒ�ã‚³ãƒž robot
as,Alexbot|AlleborgoBot|BotMultichill|DragonBot|Loveless|MediaWiki default|PipepBot|Purbo T|RCBot|SieBot
ii,MediaWiki default|SieBot
ve,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot
tw,AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|SieBot|ã‚¿ãƒ�ã‚³ãƒž robot
nrm,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|CoinCoin|EDUCA33E|Escarbot|Idioma-bot|JAnDbot|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|TXiKiBoT|Thijs!bot|VolkovBot
fiu_vro,AlleborgoBot|Almabot|ArthurBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|EmausBot|Escarbot|FoxBot|HerculeBot|Idioma-bot|JAnDbot|KamikazeBot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|SassoBot|SieBot|SilvonenBot|Superzerocool|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|Xqbot
sah,Alexbot|AlleborgoBot|Almabot|AwOcBot|CarsracBot|EmausBot|Idioma-bot|Kyraha bot|MelancholieBot|Purbo T|SassoBot|SieBot|StigBot|TXiKiBoT|TobeBot|VolkovBot
su,AlleborgoBot|BenzolBot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Escarbot|Idioma-bot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SilvonenBot|SpBot|Synthebot|TXiKiBoT|TediBot|Thijs!bot|TottyBot|VolkovBot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
rn,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|ã‚¿ãƒ�ã‚³ãƒž robot
rm,BotMultichill|Byrialbot|MediaWiki default|PipepBot|Purbo T|SiemiBot|YurikBot
fj,AlleborgoBot|BotMultichill|JackieBot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|YurikBot
ff,AlleborgoBot|BotMultichill|Byrialbot|JAnDbot|Le Pied-bot|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|TXiKiBoT|ã‚¿ãƒ�ã‚³ãƒž robot
ho,MediaWiki default
rmy,AlleborgoBot|BotMultichill|Byrialbot|DesiBot|FiriBot|JAnDbot|Loveless|MediaWiki default|PipepBot|Purbo T|TobeBot|VVVBot
